ID,Severity,Start_Lat,Start_Lng,State,cluster
A-51667,2,33.588093,-117.739029,CA,5
A-52090,2,33.876713,-118.185974,CA,5
A-52113,3,34.080746000000005,-118.221855,CA,5
A-52951,3,34.276154,-118.385826,CA,5
A-53504,2,33.929085,-118.37441299999999,CA,5
A-53684,2,33.707195,-117.084915,CA,5
A-53688,2,33.662552000000005,-117.874924,CA,5
A-54806,2,34.164921,-118.38258400000001,CA,5
A-55174,3,32.826510999999996,-116.90320600000001,CA,5
A-55832,3,33.651348,-117.75783500000001,CA,5
A-56634,3,32.64043,-117.05555700000001,CA,5
A-56962,3,33.964703,-117.32584399999999,CA,5
A-57342,3,34.07185,-118.090599,CA,5
A-57628,2,34.000309,-118.15976699999999,CA,5
A-58057,2,33.957394,-117.860634,CA,5
A-58213,3,33.949703,-118.17053200000001,CA,5
A-59835,3,33.198898,-117.36986499999999,CA,5
A-60142,3,33.780547999999996,-117.878174,CA,5
A-61584,2,34.020247999999995,-117.814972,CA,5
A-61835,3,33.790413,-118.09936499999999,CA,5
A-62218,3,33.856567,-117.977974,CA,5
A-62812,3,32.660038,-117.108177,CA,5
A-62929,2,34.016293,-118.158546,CA,5
A-63214,3,33.894295,-118.04791999999999,CA,5
A-63353,2,34.173161,-118.53598799999999,CA,5
A-63365,2,32.763294,-117.10908500000001,CA,5
A-63918,3,32.579304,-117.037865,CA,5
A-64248,3,34.016758,-117.095863,CA,5
A-64363,2,33.884518,-117.522667,CA,5
A-64756,2,34.059258,-118.25431100000002,CA,5
A-65013,2,33.9389,-118.044495,CA,5
A-65592,3,33.09544,-117.086105,CA,5
A-67615,2,33.880009,-117.6548,CA,5
A-67984,3,34.200367,-118.473541,CA,5
A-68301,2,34.383068,-117.403267,CA,5
A-68530,2,33.992794,-117.88883999999999,CA,5
A-68740,3,33.957836,-118.111847,CA,5
A-69153,2,33.134223999999996,-117.126663,CA,5
A-69279,3,34.311077000000004,-117.474205,CA,5
A-69480,3,34.069862,-117.86350300000001,CA,5
A-69748,3,33.878944,-118.28518700000001,CA,5
A-70469,3,34.072189,-118.090675,CA,5
A-70753,3,33.98785,-118.399048,CA,5
A-70950,2,32.739594,-116.94245900000001,CA,5
A-71040,3,34.136497,-117.571114,CA,5
A-71055,2,34.028996,-118.012863,CA,5
A-71177,2,33.496902,-117.12149,CA,5
A-71232,3,32.675041,-117.10977199999999,CA,5
A-72121,2,33.8764,-118.072685,CA,5
