ID,Severity,Start_Lat,Start_Lng,cluster
A-2126,3,37.810478,-122.36455500000001,6
A-2129,2,36.989441,-122.020279,6
A-2133,2,36.978031,-121.91030900000001,6
A-2149,2,37.408371,-122.06873300000001,6
A-2154,3,37.520065,-121.98305500000001,6
A-2157,3,37.808361,-122.24149299999999,6
A-2166,2,38.150757,-122.449348,6
A-2167,3,37.737331,-122.19333600000002,6
A-2169,2,38.292908000000004,-121.631325,6
A-2235,2,38.101742,-121.17841299999999,6
A-2268,3,38.055523,-122.22476200000001,6
A-2269,2,37.684505,-122.099258,6
A-2276,2,38.733096999999994,-120.77943400000001,6
A-2284,2,37.956509000000004,-121.323128,6
A-2300,2,38.020638,-121.982826,6
A-2303,2,38.495808000000004,-121.44555700000001,6
A-2310,2,37.989079,-121.25528,6
A-2364,3,37.74242,-121.531723,6
A-2370,3,37.693584,-122.057106,6
A-2373,3,37.979092,-122.06555900000001,6
A-2378,3,37.794228000000004,-122.205551,6
A-2398,3,37.314693,-121.91066000000001,6
A-2426,3,38.615318,-121.535591,6
A-2447,2,38.660976,-121.35516399999999,6
A-2452,2,38.771797,-121.251328,6
A-2482,2,37.944038,-121.235229,6
A-2490,2,38.529185999999996,-121.33506000000001,6
A-2504,2,37.256069000000004,-121.871117,6
A-2506,3,37.866089,-122.303436,6
A-2522,2,37.36422,-121.90148899999998,6
A-2537,3,37.757984,-121.453354,6
A-2538,3,37.839985,-122.2966,6
A-2559,2,38.663132,-121.382828,6
A-2581,2,37.472118,-122.20451399999999,6
A-2595,2,38.178326,-120.92381999999999,6
A-2600,3,37.943432,-122.480415,6
A-2607,3,37.838181,-122.29663799999999,6
A-2620,3,37.926357,-122.060768,6
A-2660,3,37.866753,-122.303642,6
A-2709,2,36.963772,-121.98735,6
A-2745,3,38.342995,-122.006767,6
A-2775,2,37.306686,-121.81995400000001,6
A-2808,3,37.76955,-122.22098500000001,6
A-2833,2,38.495540999999996,-121.51106999999999,6
A-2867,3,38.788437,-121.222595,6
A-2881,3,37.728371,-122.138046,6
A-2912,3,37.318844,-121.902023,6
A-2944,2,38.6698,-121.21248600000001,6
A-2958,3,38.641265999999995,-121.424889,6
A-2993,3,37.66637,-122.107491,6
A-3044,3,37.923634,-121.2929,6
A-3049,2,38.698563,-121.00778999999999,6
A-3062,3,37.332008,-122.017372,6
A-3073,2,38.501938,-121.22332,6
A-3078,2,38.641907,-121.156425,6
A-3111,2,38.013554,-121.99726899999999,6
A-3124,3,37.698409999999996,-121.93234299999999,6
A-3126,3,37.758404,-122.21217299999999,6
A-3133,3,38.64056400000001,-121.47773000000001,6
